x_values,y_values
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D7
"['Emin', 'Amin7', 'D7']",G
"['F#min', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#no3d
"['Bno3d', 'E/B', 'F#no3d']",Bno3d
"['E/B', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#min
"['Bno3d', 'E/B', 'F#min']",B
"['E/B', 'F#min', 'B']",A#no3d
"['F#min', 'B', 'A#no3d']",G#min
"['B', 'A#no3d', 'G#min']",B
"['A#no3d', 'G#min', 'B']",C#min
"['G#min', 'B', 'C#min']",G#min
"['B', 'C#min', 'G#min']",C#min
"['C#min', 'G#min', 'C#min']",G#min
"['G#min', 'C#min', 'G#min']",F#
"['C#min', 'G#min', 'F#']",Bmin
"['G#min', 'F#', 'Bmin']",F#min
"['F#', 'Bmin', 'F#min']",F#no3d
"['Bmin', 'F#min', 'F#no3d']",Bno3d
"['F#min', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#no3d
"['Bno3d', 'E/B', 'F#no3d']",Bno3d
"['E/B', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#min
"['Bno3d', 'E/B', 'F#min']",B
"['E/B', 'F#min', 'B']",A#no3d
"['F#min', 'B', 'A#no3d']",G#min
"['B', 'A#no3d', 'G#min']",B
"['A#no3d', 'G#min', 'B']",C#min
"['G#min', 'B', 'C#min']",G#min
"['B', 'C#min', 'G#min']",C#min
"['C#min', 'G#min', 'C#min']",G#min
"['G#min', 'C#min', 'G#min']",F#
"['C#min', 'G#min', 'F#']",Bmin
"['G#min', 'F#', 'Bmin']",F#min
"['F#', 'Bmin', 'F#min']",F#no3d
"['Bmin', 'F#min', 'F#no3d']",Bno3d
"['F#min', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#no3d
"['Bno3d', 'E/B', 'F#no3d']",Bno3d
"['E/B', 'F#no3d', 'Bno3d']",E/B
"['F#no3d', 'Bno3d', 'E/B']",F#min
"['Bno3d', 'E/B', 'F#min']",E/B
"['E/B', 'F#min', 'E/B']",F#min
"['F#min', 'E/B', 'F#min']",Bno3d
"['E/B', 'F#min', 'Bno3d']",E/B
"['F#min', 'Bno3d', 'E/B']",F#min
"['Bno3d', 'E/B', 'F#min']",Bno3d
"['E/B', 'F#min', 'Bno3d']",E/B
"['F#min', 'Bno3d', 'E/B']",F#min
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",Amin
"['C', 'G', 'Amin']",Dmin
"['G', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Dmin
"['G', 'C', 'Dmin']",C
"['C', 'Dmin', 'C']",Dmin
"['Dmin', 'C', 'Dmin']",C
"['C', 'Dmin', 'C']",Amin
"['Dmin', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Amin
"['G', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",Amin
"['C', 'G', 'Amin']",Dmin
"['G', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Dmin
"['G', 'C', 'Dmin']",C
"['C', 'Dmin', 'C']",Dmin
"['Dmin', 'C', 'Dmin']",C
"['C', 'Dmin', 'C']",Amin
"['Dmin', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Amin
"['G', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",Amin
"['C', 'G', 'Amin']",Dmin
"['G', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",F
"['G', 'C', 'F']",C
"['C', 'F', 'C']",F
"['F', 'C', 'F']",G
"['C', 'F', 'G']",C
"['F', 'G', 'C']",Amin
"['G', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",Amin
"['C', 'G', 'Amin']",Dmin
"['G', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Dmin
"['G', 'C', 'Dmin']",G
"['C', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",Amin
"['G', 'C', 'Amin']",Dmin
"['C', 'Amin', 'Dmin']",G
"['Amin', 'Dmin', 'G']",C
"['Dmin', 'G', 'C']",G
"['G', 'C', 'G']",C
"['Amin', 'G', 'F']",G
"['G', 'F', 'G']",Amin
"['F', 'G', 'Amin']",Fmaj7
"['G', 'Amin', 'Fmaj7']",Amin
"['Amin', 'Fmaj7', 'Amin']",G
"['Fmaj7', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",Fmaj7
"['G', 'Amin', 'Fmaj7']",Amin
"['Amin', 'Fmaj7', 'Amin']",G
"['Fmaj7', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",F
"['Amin', 'G', 'F']",G
"['G', 'F', 'G']",Amin
"['F', 'G', 'Amin']",F
"['G', 'Amin', 'F']",Amin
"['Amin', 'F', 'Amin']",G
"['F', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",Emin
"['G', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",F
"['Emin', 'Amin', 'F']",Amin
"['Amin', 'F', 'Amin']",G
"['F', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",Emin
"['G', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",F
"['Emin', 'Amin', 'F']",Amin
"['Amin', 'F', 'Amin']",G
"['F', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",Emin
"['G', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",Emin
"['Emin', 'Amin', 'Emin']",Amin
"['Amin', 'Emin', 'Amin']",F
"['Emin', 'Amin', 'F']",Amin
"['Amin', 'F', 'Amin']",G
"['F', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",F
"['G', 'Amin', 'F']",Amin
"['Amin', 'F', 'Amin']",G
"['F', 'Amin', 'G']",Amin
"['Amin', 'G', 'Amin']",G
"['G', 'Amin', 'G']",Amin
